Date,State,Max Demand Met,Shortage During Peak,Energy Met,Drawl Schedule,OD(+) / UD(-),Max OD,Energy Shortage
2020-01-01 00:00:00,Andhra Pradesh,8561,0,170.1,66.3,-0.5,367,0
2020-01-01 00:00:00,Arunachal Pradesh,109,1,2.2,1.9,0.2,34,0
2020-01-01 00:00:00,Assam,1358,28,23.4,17.3,1.3,90,0.2
2020-01-01 00:00:00,Bihar,4656,0,82,81.2,-0.7,255,0
2020-01-01 00:00:00,Chandigarh,306,0,4.9,4.7,0.2,46,0
2020-01-01 00:00:00,Chhattisgarh,3767,0,78.8,27.6,-1,435,0.1
2020-01-01 00:00:00,DD,307,0,6.9,6.4,0.5,46,0
2020-01-01 00:00:00,DNH,773,0,18.2,18.3,-0.1,30,0
2020-01-01 00:00:00,DVC,3090,0,64.3,-31.5,-0.4,200,0
2020-01-01 00:00:00,Delhi,5149,0,85.5,73.1,0.3,285,0
2020-01-01 00:00:00,ER Odisha,,,,,,,
2020-01-01 00:00:00,Essar steel,318,0,5.1,5.6,-0.5,262,0
2020-01-01 00:00:00,Goa,508,25,13.7,11.3,1.9,38,0.4
2020-01-01 00:00:00,Gujarat,15676,0,316.7,68.5,-2.5,538,0
2020-01-01 00:00:00,HP,1692,0,30.1,23.7,-0.3,134,0
2020-01-01 00:00:00,Haryana,6808,0,133.5,77.5,-0.7,174,0
2020-01-01 00:00:00,J&K(UT) & Ladakh(UT),,,,,,,
2020-01-01 00:00:00,Jharkhand,1391,0,25.6,17,-0.5,180,0
2020-01-01 00:00:00,Kerala,3716,0,73.6,56.1,1,203,0
2020-01-01 00:00:00,MP,14498,0,253.6,122.8,-3.9,320,0
2020-01-01 00:00:00,Manipur,211,2,2.4,3.1,-0.7,23,0
2020-01-01 00:00:00,Mizoram,102,0,1.8,1.4,0.3,14,0
2020-01-01 00:00:00,NER Meghalaya,363,0,6.5,3,0.6,69,0.5
2020-01-01 00:00:00,NR UP,16894,310,311.8,143,0.2,491,1.1
2020-01-01 00:00:00,Nagaland,127,1,2.2,2.3,-0.2,16,0
2020-01-01 00:00:00,Puducherry,,,,,,,
2020-01-01 00:00:00,Punjab,6203,0,121.9,55.2,-1.8,97,0
2020-01-01 00:00:00,Rajasthan,13128,386,240.2,67.1,0.4,510,0
2020-01-01 00:00:00,SR Karnataka,11660,0,212.2,59.4,0.6,819,0
2020-01-01 00:00:00,Sikkim,129,0,1.9,1.7,0.2,40,0
2020-01-01 00:00:00,Tamil Nadu,13703,0,285.2,165.9,1.6,530,0
2020-01-01 00:00:00,Telangana,10347,0,204.5,100.3,-0.6,399,0
2020-01-01 00:00:00,Tripura,231,0,3.6,1.6,-0.2,28,0
2020-01-01 00:00:00,Uttarakhand,2088,0,39.3,26.3,-0.2,133,0.1
2020-01-01 00:00:00,WR Maharashtra,,,,,,,
2020-01-01 00:00:00,West Bengal,6255,0,110.2,28.2,-0.3,375,0
2020-01-02 00:00:00,Andhra Pradesh,8657,0,165.2,61.6,-0.6,366,0
2020-01-02 00:00:00,Arunachal Pradesh,117,2,2.2,1.8,0.3,29,0
2020-01-02 00:00:00,Assam,1264,16,21.7,17.4,0.2,105,0.4
2020-01-02 00:00:00,Bihar,4424,0,82.9,81.6,0.1,470,0
2020-01-02 00:00:00,Chandigarh,293,0,4.8,4.7,0.1,43,0
2020-01-02 00:00:00,Chhattisgarh,3509,0,74.8,26.1,-2.2,181,0
2020-01-02 00:00:00,DD,263,0,5.8,5.6,0.2,31,0
2020-01-02 00:00:00,DNH,728,0,16.7,16.8,-0.1,27,0
2020-01-02 00:00:00,DVC,3060,0,64.6,-30.7,-0.2,270,0
2020-01-02 00:00:00,Delhi,5210,0,83.5,71.9,0.4,369,0
2020-01-02 00:00:00,ER Odisha,,,,,,,
2020-01-02 00:00:00,Essar steel,277,0,5.5,5.3,0.2,234,0
2020-01-02 00:00:00,Goa,476,0,12.6,9.7,2.3,34,0
